Name,Rating,Price,Rating_Votes
"Apple iPhone 7 (Black, 32 GB)",4.5,"₹27,999","(82,620)"
"Apple iPhone 11 (Black, 128 GB)",4.7,"₹69,900","(8,563)"
"Apple iPhone 8 (Space Grey, 64 GB)",4.5,"₹36,999","(9,125)"
"Apple iPhone XS (Gold, 64 GB)",4.7,"₹59,999","(6,009)"
"Apple iPhone 7 Plus (Black, 32 GB)",4.5,"₹34,999","(22,454)"
"Apple iPhone 11 (Purple, 128 GB)",4.7,"₹69,900","(8,563)"
"Apple iPhone 11 (Black, 64 GB)",4.7,"₹64,900","(8,563)"
"Apple iPhone XS (Space Grey, 64 GB)",4.7,"₹59,999","(6,009)"
"Apple iPhone 11 (White, 64 GB)",4.7,"₹64,900","(8,563)"
"Apple iPhone 11 (Green, 64 GB)",4.7,"₹64,900","(8,563)"
"Apple iPhone 7 Plus (Rose Gold, 32 GB)",4.5,"₹34,999","(22,454)"
Dainty Tempered Glass Guard for Apple iPhone 7,3.9,₹179,(160)
ACUTAS Screen Guard for Back camera Lens Apple iPhone 7 Plus/Apple iPhone 8 Plus,3.4,₹149,(36)
"Sprig Tempered Glass Guard for Apple iPhone XS, Apple iPhone X",,₹499,
"Apple iPhone XR (White, 64 GB)",4.6,"₹49,900","(8,037)"
"Apple iPhone 7 Plus (Gold, 32 GB)",4.5,"₹34,999","(22,454)"
"Apple iPhone 6s (Gold, 32 GB)",4.5,"₹24,990","(90,814)"
"Apple iPhone 11 (Purple, 64 GB)",4.7,"₹64,900","(8,563)"
"Apple iPhone 6s (Space Grey, 32 GB)",4.5,"₹23,999","(90,814)"
RhinoShield Screen Guard for Apple iPhone 11 Pro,,"₹1,299",
"Apple iPhone XS (Silver, 64 GB)",4.7,"₹59,999","(6,009)"
"Apple iPhone 11 (Red, 128 GB)",4.7,"₹69,900","(8,563)"
"Apple iPhone 6s (Silver, 32 GB)",4.5,"₹24,870","(90,814)"
Tough Lee Tempered Glass Guard for Apple iPhone 7 Plus,3.8,₹159,(85)
"Apple iPhone 8 (Silver, 64 GB)",4.5,"₹36,999","(9,125)"
"Apple iPhone 8 (Gold, 64 GB)",4.5,"₹36,999","(9,125)"
"Apple iPhone 7 (Gold, 32 GB)",4.5,"₹29,900","(82,620)"
Tough Lee Tempered Glass Guard for Apple iPhone 7 Plus,3.9,₹349,(19)
Dainty Tempered Glass Guard for Apple iPhone 7 Plus,4,₹399,(35)
Dainty Tempered Glass Guard for Apple iPhone 7 Plus,3.9,₹229,(19)
"Apple iPhone 6s Plus (Gold, 32 GB)",4.4,"₹33,999","(18,534)"
"Apple iPhone XR (Black, 128 GB)",4.6,"₹54,900","(8,037)"
"Apple iPhone XR (Black, 64 GB)",4.6,"₹49,900","(8,037)"
Tough Lee Tempered Glass Guard for Apple iPhone 6s,3.8,₹249,(42)
"Apple iPhone XR (Coral, 64 GB)",4.6,"₹49,900","(8,037)"
"Apple iPhone XR (Blue, 64 GB)",4.6,"₹49,900","(8,037)"
"Apple iPhone XR (White, 128 GB)",4.6,"₹54,900","(8,037)"
"Apple iPhone 11 (Red, 64 GB)",4.7,"₹64,900","(8,563)"
"Apple iPhone XR ((PRODUCT)RED, 64 GB)",4.6,"₹49,900","(8,037)"
Dainty Tempered Glass Guard for Apple iPhone 7 Plus,3.6,₹499,(7)
